"Nom";"Email";"Role";"Commandes";"Total Depense (EUR)";"Avoirs (EUR)";"Statut";"Date Creation"
"TIMO";"h.timouri@gmail.com";"CUSTOMER";"7";"194";"30";"Actif";"24/08/2026"
"Alexandre Morel";"admin@solopreneur.io";"ADMIN";"0";"0";"0";"Actif";"24/08/2026"
"AMINE";"amine@gmail.com";;;;;;
"AHMED";"ahmed@@gmail.com";;;;;;
"SARA";"sara@gmail.com";;;;;;
"RHALI";"rali@gmail.com";;;;;;
"RITA";"rita@gmail.com";;;;;;
"NIZAR";"nizar@gmail.com";;;;;;
"INES";"ines@gmail.com";;;;;;
"SAMYA";"samya@gmail.com";;;;;;
